Model,Library,Format,Training Time (s),Memory Usage (MB),Validation Accuracy
GraphSAGE,PyG,CSC,CiteSeer,6.352370738983154,-226.83984375,0.63
GraphSAGE,DGL,COO,CiteSeer,6.476004600524902,-264.31640625,0.7507507507507507
GraphSAGE,DGL,CSR,CiteSeer,6.189678430557251,33.03125,0.7560975609756098
GraphSAGE,DGL,CSC,CiteSeer,7.036634683609009,-214.9765625,0.7687687687687688
GCN,PyG,COO,CiteSeer,1.97761869430542,11.01953125,0.642
GCN,PyG,CSR,CiteSeer,2.4472062587738037,2.20703125,0.63
GCN,PyG,CSC,CiteSeer,2.4322612285614014,2.0,0.635
GCN,DGL,COO,CiteSeer,2.0107338428497314,1.19921875,0.7597597597597597
GCN,DGL,CSR,CiteSeer,2.032132148742676,0.0625,0.7621951219512195
GCN,DGL,CSC,CiteSeer,1.9929115772247314,0.49609375,0.7612612612612613
GraphSAGE,PyG,COO,CiteSeer,6.477789878845215,-43.87109375,0.517
GraphSAGE,PyG,CSR,CiteSeer,6.349106311798096,-216.43359375,0.64
GraphSAGE,PyG,CSC,CiteSeer,6.286433458328247,-226.83984375,0.576
GraphSAGE,DGL,COO,CiteSeer,6.501301050186157,-264.31640625,0.7522522522522522
GraphSAGE,DGL,CSR,CiteSeer,6.165267467498779,33.0234375,0.7378048780487805
GraphSAGE,DGL,CSC,CiteSeer,6.9903130531311035,-214.9765625,0.7702702702702703
GCN,PyG,COO,CiteSeer,7.462321519851685,11.0078125,0.633
GCN,PyG,CSR,CiteSeer,9.50147294998169,2.21484375,0.64
GCN,PyG,CSC,CiteSeer,9.363771677017212,2.03515625,0.649
GCN,DGL,COO,CiteSeer,7.428186893463135,1.19921875,0.7267267267267268
GCN,DGL,CSR,CiteSeer,7.501615524291992,0.02734375,0.7347560975609756
GCN,DGL,CSC,CiteSeer,7.62520170211792,0.47265625,0.7252252252252253
GraphSAGE,PyG,COO,CiteSeer,25.251832485198975,-44.32421875,0.578
GraphSAGE,PyG,CSR,CiteSeer,24.968919038772583,-215.953125,0.528
GraphSAGE,PyG,CSC,CiteSeer,25.117496490478516,-226.59765625,0.617
GraphSAGE,DGL,COO,CiteSeer,24.98978614807129,-264.60546875,0.7372372372372372
GraphSAGE,DGL,CSR,CiteSeer,25.049628019332886,-180.6015625,0.7454268292682927
GraphSAGE,DGL,CSC,CiteSeer,27.954376459121704,-263.24609375,0.7657657657657657
GCN,PyG,COO,CiteSeer,0.8773128986358643,10.90234375,0.65
GCN,PyG,CSR,CiteSeer,1.0841262340545654,2.20703125,0.632
GCN,PyG,CSC,CiteSeer,1.046370029449463,2.0,0.646
GCN,DGL,COO,CiteSeer,0.8902533054351807,1.19921875,0.7762762762762763
GCN,DGL,CSR,CiteSeer,0.8723902702331543,0.0,0.7804878048780488
GCN,DGL,CSC,CiteSeer,0.8891427516937256,0.46484375,0.7672672672672672
GraphSAGE,PyG,COO,CiteSeer,2.7191786766052246,178.734375,0.588
GraphSAGE,PyG,CSR,CiteSeer,2.7000584602355957,223.75390625,0.545
GraphSAGE,PyG,CSC,CiteSeer,2.5879313945770264,-226.61328125,0.518
GraphSAGE,DGL,COO,CiteSeer,2.5648233890533447,-264.60546875,0.7492492492492493
GraphSAGE,DGL,CSR,CiteSeer,2.548771381378174,33.1015625,0.7560975609756098
GraphSAGE,DGL,CSC,CiteSeer,2.9059605598449707,55.3125,0.7762762762762763
GCN,PyG,COO,CiteSeer,0.8809487819671631,11.00390625,0.601
GCN,PyG,CSR,CiteSeer,1.0490736961364746,2.203125,0.648
GCN,PyG,CSC,CiteSeer,1.056894302368164,1.9921875,0.633
GCN,DGL,COO,CiteSeer,0.8743808269500732,1.19921875,0.7687687687687688
GCN,DGL,CSR,CiteSeer,0.8793866634368896,0.0,0.7682926829268293
GCN,DGL,CSC,CiteSeer,0.886486291885376,0.46484375,0.7762762762762763
GraphSAGE,PyG,COO,CiteSeer,2.71689772605896,178.734375,0.638
GraphSAGE,PyG,CSR,CiteSeer,2.644871234893799,-169.46875,0.539
GraphSAGE,PyG,CSC,CiteSeer,2.5318241119384766,-226.61328125,0.59
GraphSAGE,DGL,COO,CiteSeer,2.6395421028137207,-264.60546875,0.7387387387387387
GraphSAGE,DGL,CSR,CiteSeer,2.5526294708251953,33.09765625,0.7591463414634146
GraphSAGE,DGL,CSC,CiteSeer,2.9597220420837402,-214.2890625,0.7612612612612613
GAT,PyG,COO,CiteSeer,1.5513591766357422,-124.11328125,0.612
GAT,PyG,CSR,CiteSeer,1.4854991436004639,-45.08984375,0.587
GAT,PyG,CSC,CiteSeer,1.515021800994873,-46.1875,0.561
GCN,PyG,COO,Cora,0.5130841732025146,9.30859375,0.79
GCN,PyG,CSR,Cora,0.6921558380126953,-0.6875,0.779
GCN,PyG,CSC,Cora,0.732048511505127,-13.61328125,0.795
GCN,DGL,COO,Cora,0.5119025707244873,0.50390625,0.8708487084870848
GCN,DGL,CSR,Cora,0.4636077880859375,0.0,0.8690036900369004
GCN,DGL,CSC,Cora,0.6177749633789062,0.0,0.8653136531365314
GraphSAGE,PyG,COO,Cora,1.1933929920196533,61.4453125,0.722
GraphSAGE,PyG,CSR,Cora,1.1415016651153564,15.25390625,0.703
GraphSAGE,PyG,CSC,Cora,1.098858118057251,4.9609375,0.747
GraphSAGE,DGL,COO,Cora,0.9399106502532959,-19.6171875,0.8708487084870848
GraphSAGE,DGL,CSR,Cora,0.9761607646942139,20.3515625,0.8690036900369004
GraphSAGE,DGL,CSC,Cora,1.1402204036712646,16.2421875,0.8763837638376384
GAT,PyG,COO,Cora,0.8386049270629883,-57.99609375,0.793
GAT,PyG,CSR,Cora,0.8292050361633301,14.77734375,0.765
GAT,PyG,CSC,Cora,0.8025848865509033,14.953125,0.721
GCN,PyG,COO,Cora,0.5124197006225586,9.38671875,0.802
GCN,PyG,CSR,Cora,0.6894679069519043,-0.26953125,0.803
GCN,PyG,CSC,Cora,0.685983419418335,-13.6171875,0.773
GCN,DGL,COO,Cora,0.5036706924438477,0.515625,0.8856088560885609
GCN,DGL,CSR,Cora,0.506831169128418,0.07421875,0.8690036900369004
GCN,DGL,CSC,Cora,0.5157656669616699,0.0,0.8745387453874539
GraphSAGE,PyG,COO,Cora,0.9964840412139893,61.4453125,0.733
GraphSAGE,PyG,CSR,Cora,1.035414218902588,0.44921875,0.748
GraphSAGE,PyG,CSC,Cora,1.050605058670044,4.9609375,0.75
GraphSAGE,DGL,COO,Cora,1.1038076877593994,-4.8125,0.8782287822878229
GraphSAGE,DGL,CSR,Cora,0.995511531829834,14.05859375,0.8690036900369004
GraphSAGE,DGL,CSC,Cora,1.0032384395599365,22.53515625,0.8763837638376384
GAT,PyG,COO,Cora,0.656104564666748,5.1640625,0.71
GAT,PyG,CSR,Cora,0.6781835556030273,1.75,0.751
GAT,PyG,CSC,Cora,0.7100510597229004,0.3359375,0.773
GAT,DGL,COO,Cora,0.7493617534637451,-15.58984375,0.8487084870848709
GAT,DGL,CSR,Cora,0.7324638366699219,0.90234375,0.8763837638376384
GAT,DGL,CSC,Cora,0.6704187393188477,0.890625,0.8505535055350554
GCN,PyG,COO,Cora,0.5041048526763916,9.1953125,0.8
GCN,PyG,CSR,Cora,0.7330257892608643,-0.1640625,0.778
GCN,PyG,CSC,Cora,0.6905772686004639,1.1953125,0.802
GCN,DGL,COO,Cora,0.49550867080688477,3.23828125,0.8782287822878229
GCN,DGL,CSR,Cora,0.5354781150817871,0.1015625,0.8819188191881919
GCN,DGL,CSC,Cora,0.5950367450714111,0.203125,0.8819188191881919
GraphSAGE,PyG,COO,Cora,1.04237699508667,70.5,0.758
GraphSAGE,PyG,CSR,Cora,1.0706913471221924,0.44921875,0.757
GraphSAGE,PyG,CSC,Cora,1.160377025604248,-1.33203125,0.731
GraphSAGE,DGL,COO,Cora,1.0714325904846191,1.48046875,0.8653136531365314
GraphSAGE,DGL,CSR,Cora,0.9703354835510254,20.3515625,0.8837638376383764
GraphSAGE,DGL,CSC,Cora,1.0526385307312012,9.9453125,0.8745387453874539
GAT,PyG,COO,Cora,0.6593844890594482,5.1640625,0.77
GAT,PyG,CSR,Cora,0.7265827655792236,1.75,0.716
GAT,PyG,CSC,Cora,0.679915189743042,0.3359375,0.755
GAT,DGL,COO,Cora,0.7184960842132568,-15.58984375,0.8671586715867159
GAT,DGL,CSR,Cora,0.6900579929351807,0.90234375,0.8671586715867159
GAT,DGL,CSC,Cora,0.6643953323364258,0.8828125,0.8542435424354243
GCN,PyG,COO,PubMed,1.2856881618499756,38.3203125,0.742
GCN,PyG,CSR,PubMed,1.6031033992767334,-28.0,0.74
